# Which files in this corpus reach which extractor, and with how many items.
#
# Generated: cargo run --release --example seed_reach_manifest
# Consumed:  scripts/prep-fuzz-corpus.sh, to pick seeds by whether they reach a
#            verifier rather than by filename order.
# Checked:   tests/fuzz_input_reach.rs re-measures this and fails if it is stale.
#
# Files reaching no extractor are omitted, so `files scanned` and `files listed`
# differ; both are stated because their difference is the thing worth seeing.
# corpus: historical_419200_1046400
# files scanned: 2032
# files listed: 491
#
# file	orchard	sapling	redjubjub	sprout
v4_0419450_e4a6b011aaf3c498.bin	0	0	0	1
v4_0419950_83763d8c80b357f5.bin	0	0	0	1
v4_0420200_cace75160e0163d2.bin	0	0	0	1
v4_0422700_75d4475f5f971118.bin	0	0	0	1
v4_0423950_0308f1231efd40e1.bin	0	0	0	1
v4_0423950_14d0feb68a316004.bin	0	0	0	1
v4_0424200_74be4a7ebcec9c64.bin	0	0	0	1
v4_0424950_dc7e0ad4ed9a275d.bin	0	0	0	1
v4_0425200_52f9dd00c43ee73c.bin	0	0	0	1
v4_0425200_6a1af7811b4a7575.bin	0	0	0	1
v4_0425200_b588c7307a625aab.bin	0	0	0	1
v4_0425450_750b061890606d2b.bin	0	0	0	1
v4_0426450_db1993b99d744311.bin	0	0	0	1
v4_0426950_f241aa8d3bbef09e.bin	0	0	0	1
v4_0428200_22b0551f587775e5.bin	0	0	0	1
v4_0428700_6a9f624c5640626d.bin	0	0	0	1
v4_0428700_8d12960a0481c710.bin	0	0	0	1
v4_0428700_b0dc263c0862bfd1.bin	0	0	0	1
v4_0428950_3d04261a51e46569.bin	0	0	0	1
v4_0428950_4c8d666851b0ed00.bin	0	0	0	1
v4_0428950_c2ebe68f198156cb.bin	0	0	0	1
v4_0429200_2db44d2095737e3f.bin	0	0	0	1
v4_0429450_002a36ba63668633.bin	0	0	0	1
v4_0429450_9c3945d39ce5c4f8.bin	0	0	0	1
v4_0429700_08f59f2fe7aee435.bin	0	0	0	1
v4_0430700_0b63d77dcd6d3b9d.bin	0	0	0	1
v4_0430700_f0956022a5986448.bin	0	0	0	1
v4_0430950_89447ab49e69d09d.bin	0	0	0	3
v4_0432200_743772092332709f.bin	0	0	0	1
v4_0433700_11cf4a91218769a6.bin	0	0	0	1
v4_0433700_aeabf323d5b47b76.bin	0	0	0	1
v4_0433700_ce33e26bad2a7274.bin	0	0	0	1
v4_0433950_1ed32af97fa2e1e4.bin	0	0	0	1
v4_0433950_61b6de683675bc73.bin	0	0	0	1
v4_0433950_681b1e7334cbc677.bin	0	0	0	1
v4_0433950_7cdac96d321c8d0a.bin	0	0	0	1
v4_0433950_8efa19641a65f125.bin	0	0	0	1
v4_0433950_aa01526b609f8050.bin	0	0	0	1
v4_0434700_cd2a09bea310bb4d.bin	0	0	0	1
