# Which files in this corpus reach which extractor, and with how many items.
#
# Generated: cargo run --release --example seed_reach_manifest
# Consumed:  scripts/prep-fuzz-corpus.sh, to pick seeds by whether they reach a
#            verifier rather than by filename order.
# Checked:   tests/fuzz_input_reach.rs re-measures this and fails if it is stale.
#
# Files reaching no extractor are omitted, so `files scanned` and `files listed`
# differ; both are stated because their difference is the thing worth seeing.
# corpus: nu6_3_activation
# files scanned: 172
# files listed: 172
#
# file	orchard	sapling	redjubjub	sprout
v6_3428150_07d18d850656bda8.bin	2	0	0	0
v6_3428150_25d87ba678308c4b.bin	2	0	0	0
v6_3428150_5bf0153577418720.bin	2	0	0	0
v6_3428150_6edd978f4d3596b7.bin	2	0	0	0
v6_3428150_8084f55cf8267b59.bin	2	0	0	0
v6_3428150_de50e02bf4218b64.bin	2	0	0	0
v6_3428250_596b0856616affb9.bin	1	0	0	0
v6_3428250_a6748da27242321e.bin	2	0	0	0
v6_3428250_b589fe526447c8e9.bin	2	0	0	0
v6_3428250_ef1c26b388f6cef9.bin	2	0	0	0
v6_3428350_1031985a954ed9af.bin	1	0	0	0
v6_3428350_30f0bed9e98e713a.bin	2	0	0	0
v6_3428350_506b593ac2ced937.bin	2	0	0	0
v6_3428350_57c1c1eeaf9311e1.bin	1	0	0	0
v6_3428350_5c66803aa91a3027.bin	2	0	0	0
v6_3428350_6719bc04c969894e.bin	1	0	0	0
v6_3428350_68d7bbbefaf74332.bin	2	0	0	0
v6_3428350_a80a32cf2b6e9333.bin	1	0	0	0
v6_3428350_bd500aca793f568c.bin	2	0	0	0
v6_3428350_c9130bbcc125647e.bin	2	0	0	0
v6_3428400_a693cbbf930505dd.bin	1	0	0	0
v6_3428450_234511f6982f9aab.bin	1	0	0	0
v6_3428450_2eabda87e10d7057.bin	1	0	0	0
v6_3428450_e8ad1c4abcb350ec.bin	1	0	0	0
v6_3428500_1fcc0cd33709557f.bin	2	0	0	0
v6_3428550_5a87732225ac23b4.bin	2	0	0	0
v6_3428550_63e0341193bac9b9.bin	1	0	0	0
v6_3428550_abe0642d98e24982.bin	2	0	0	0
v6_3428550_ce02bfcf39e9d158.bin	1	0	0	0
v6_3428650_c6d109e026afbbe1.bin	1	0	0	0
v6_3428650_fbab7cb3a0fac9f3.bin	2	0	0	0
v6_3428750_1a828f19183eda73.bin	1	0	0	0
v6_3428750_21cbe0cd4c7a7ae6.bin	1	0	0	0
v6_3428750_3b6361617e8fc606.bin	1	0	0	0
v6_3428750_836b17f900b114e8.bin	1	0	0	0
v6_3428750_8e041407144fe59a.bin	1	0	0	0
v6_3428750_de4146d4aa505fb9.bin	1	0	0	0
v6_3428750_eef5fc5ca78595ae.bin	2	0	0	0
v6_3428800_6f4db8fcf5d5d26f.bin	1	0	0	0
v6_3428850_11254b278cfabd23.bin	1	0	0	0
v6_3428850_2f9282153c412363.bin	1	0	0	0
v6_3428850_75c037808fe526a6.bin	1	0	0	0
v6_3428850_ddda94af3e37057b.bin	1	0	0	0
v6_3428900_1ef1a25141014151.bin	1	0	0	0
v6_3428900_3ee0fe58b929703c.bin	1	0	0	0
v6_3428900_738eba3a3dd63c36.bin	2	0	0	0
v6_3428900_bbd6de39c0cad1fc.bin	1	0	0	0
v6_3428900_e479f6a47bfe8c01.bin	1	0	0	0
v6_3428900_efe328d6dc91a8fc.bin	2	0	0	0
v6_3428900_f5300990fb3b6aa1.bin	2	0	0	0
v6_3428950_2489ed480ce91603.bin	2	0	0	0
v6_3428950_f1c26d040279634a.bin	2	0	0	0
v6_3428950_f9eea7c95f2bd3dc.bin	2	0	0	0
v6_3429050_55d003046d0df642.bin	1	0	0	0
v6_3429050_8e5e31d0a6a2bf83.bin	1	0	0	0
v6_3429050_df0acdc77a65821f.bin	1	0	0	0
v6_3429050_ed3f765274a11ced.bin	1	0	0	0
v6_3429100_8592c974c5601799.bin	2	0	0	0
v6_3429150_22595e3649ba5a23.bin	2	0	0	0
v6_3429150_d0e991623918089b.bin	2	0	0	0
v6_3429200_407691a85c2174ba.bin	1	0	0	0
v6_3429250_0e2872cf08da4138.bin	1	0	0	0
v6_3429250_1135ed80266bc03d.bin	1	0	0	0
v6_3429250_4e6b752193363e56.bin	1	0	0	0
