# Which files in this corpus reach which extractor, and with how many items.
#
# Generated: cargo run --release --example seed_reach_manifest
# Consumed:  scripts/prep-fuzz-corpus.sh, to pick seeds by whether they reach a
#            verifier rather than by filename order.
# Checked:   tests/fuzz_input_reach.rs re-measures this and fails if it is stale.
#
# Files reaching no extractor are omitted, so `files scanned` and `files listed`
# differ; both are stated because their difference is the thing worth seeing.
# corpus: orchard_v5_nu6_2
# files scanned: 250
# files listed: 250
#
# file	orchard	sapling	redjubjub	sprout
v5_3364604_9d1b05cab5e4400b.bin	1	0	0	0
v5_3364650_5e13c365c17fc3d1.bin	1	0	0	0
v5_3364702_2f59ea28b986c05d.bin	1	0	0	0
v5_3364750_8486d6b0f0a66457.bin	1	1	2	0
v5_3364782_d27b4871a8b7f7bb.bin	1	0	0	0
v5_3364818_bcd4eb0ca02477dc.bin	1	0	0	0
v5_3364861_52cea9de2a99fbe0.bin	1	0	0	0
v5_3364881_82b6b6b42dc2b82e.bin	1	0	0	0
v5_3364898_fe62c72e249387a9.bin	1	0	0	0
v5_3364950_bb33e56b1f9b9d9a.bin	1	0	0	0
v5_3364998_1216b22b2da1085e.bin	1	0	0	0
v5_3365035_fd91f8f121a80d9d.bin	1	0	0	0
v5_3365089_d7ebe528d05d9f38.bin	1	0	0	0
v5_3365157_9ddf9ac5a7fac5e8.bin	1	0	0	0
v5_3365213_f670ad49665049ed.bin	1	0	0	0
v5_3365241_c79010d67e15f550.bin	1	0	0	0
v5_3365268_dea76df2797c1048.bin	1	0	0	0
v5_3365301_b83fb59952ef47f4.bin	1	0	0	0
v5_3365313_58e6b57277445313.bin	1	0	0	0
v5_3365325_f5737829a28887da.bin	1	0	0	0
v5_3365343_d41bc0f594a75457.bin	1	0	0	0
v5_3365374_2c9287cb83dbc4f7.bin	1	0	0	0
v5_3365403_bbe6eaebdf2f1875.bin	1	0	0	0
v5_3365442_607e643f29ec1351.bin	1	0	0	0
v5_3365471_af3e57acc7f73023.bin	1	0	0	0
v5_3365503_943c2df1ca9a198f.bin	1	0	0	0
v5_3365552_78995f07fb9a8120.bin	1	0	0	0
v5_3365575_40aaf75344cb3058.bin	1	0	0	0
v5_3365614_27c856ff649476dd.bin	1	0	0	0
v5_3365652_8d394642d5a7548b.bin	1	0	0	0
v5_3365702_add3ff375c9b9266.bin	1	0	0	0
v5_3365726_a04ad9cb05849fce.bin	1	0	0	0
v5_3365778_7c9c5d19350c7670.bin	1	0	0	0
v5_3365827_0f10f77d3f9022f2.bin	1	0	0	0
v5_3365858_18bf6c2e93941b40.bin	1	0	0	0
v5_3365888_62ad6a2a4968bd92.bin	1	0	0	0
v5_3365927_434c9d3a78292d2e.bin	1	0	0	0
v5_3365973_c88683609be83885.bin	1	0	0	0
v5_3365989_0f58c59719d681db.bin	1	0	0	0
v5_3366031_c565eb665e5bc0c6.bin	1	0	0	0
v5_3366059_2a61afc5bd8d47ae.bin	1	0	0	0
v5_3366085_37e1a8d9125013c8.bin	1	0	0	0
v5_3366107_00c411f32907cf5c.bin	1	0	0	0
v5_3366113_a710abbc4a5f55d3.bin	1	0	0	0
v5_3366126_cc415cfa1b5d0997.bin	1	0	0	0
v5_3366147_b0bb0e824c208c7d.bin	1	0	0	0
v5_3366158_d4bfc0f811a90239.bin	1	0	0	0
