# Which files in this corpus reach which extractor, and with how many items.
#
# Generated: cargo run --release --example seed_reach_manifest
# Consumed:  scripts/prep-fuzz-corpus.sh, to pick seeds by whether they reach a
#            verifier rather than by filename order.
# Checked:   tests/fuzz_input_reach.rs re-measures this and fails if it is stale.
#
# Files reaching no extractor are omitted, so `files scanned` and `files listed`
# differ; both are stated because their difference is the thing worth seeing.
# corpus: orchard_v5_pre_nu6_2
# files scanned: 550
# files listed: 210
#
# file	orchard	sapling	redjubjub	sprout
v5_1687106_19be420001.bin	0	1	2	0
v5_1687106_19be420002.bin	0	1	2	0
v5_1687106_19be420003.bin	0	1	2	0
v5_1687107_19be430004.bin	1	1	2	0
v5_1687107_19be430005.bin	0	1	2	0
v5_1687108_19be440004.bin	0	1	2	0
v5_1687108_19be440005.bin	0	1	4	0
v5_1687109_19be450007.bin	1	1	2	0
v5_1687109_19be450009.bin	0	1	2	0
v5_1687109_19be45000a.bin	0	1	2	0
v5_1687109_19be45000b.bin	0	1	3	0
v5_1687109_19be45000d.bin	1	1	2	0
v5_1687113_19be490008.bin	0	1	2	0
v5_1687113_19be490009.bin	0	1	2	0
v5_1687114_19be4a0003.bin	0	1	2	0
v5_1687114_19be4a0004.bin	0	1	2	0
v5_1687115_19be4b0002.bin	0	1	2	0
v5_1687115_19be4b0003.bin	0	1	2	0
v5_1687117_19be4d0001.bin	0	1	2	0
v5_1687118_19be4e0005.bin	0	1	2	0
v5_1687118_19be4e0006.bin	0	1	2	0
v5_1687118_19be4e0007.bin	1	1	2	0
v5_1687121_19be510003.bin	1	0	0	0
v5_1687125_19be550002.bin	1	1	2	0
v5_1687126_19be560002.bin	0	1	2	0
v5_1687132_19be5c0003.bin	1	0	0	0
v5_1687138_19be620006.bin	1	1	2	0
v5_1687143_19be670001.bin	1	0	0	0
v5_1687157_19be750004.bin	0	1	2	0
v5_1687161_19be790002.bin	0	1	2	0
v5_1687173_19be850001.bin	0	1	2	0
v5_1687187_19be930001.bin	1	1	3	0
v5_1687192_19be980001.bin	0	1	2	0
v5_1687194_19be9a0004.bin	1	1	2	0
v5_1687204_19bea40002.bin	0	1	2	0
v5_1687209_19bea90003.bin	0	1	2	0
v5_1687209_19bea90004.bin	1	1	2	0
v5_1687211_19beab0002.bin	0	1	2	0
v5_1687227_19bebb0005.bin	0	1	2	0
v5_1687228_19bebc0002.bin	0	1	2	0
v5_1687233_19bec10002.bin	0	1	2	0
v5_1687235_19bec30006.bin	0	1	2	0
v5_1687236_19bec40002.bin	0	1	5	0
v5_1687240_19bec80003.bin	0	1	2	0
v5_1687241_19bec90003.bin	0	1	44	0
v5_1687244_19becc0003.bin	0	1	2	0
v5_1687248_19bed00001.bin	0	1	2	0
v5_1687248_19bed00002.bin	0	1	4	0
v5_1687249_19bed10001.bin	0	1	2	0
v5_1687252_19bed40004.bin	0	1	2	0
v5_1687256_19bed80002.bin	0	1	2	0
v5_1687259_19bedb0004.bin	0	1	2	0
v5_1687269_19bee50001.bin	1	0	0	0
v5_1687270_19bee60002.bin	0	1	2	0
v5_1687271_19bee70003.bin	0	1	3	0
v5_1687284_19bef40001.bin	0	1	2	0
v5_1687285_19bef50001.bin	0	1	2	0
v5_1687292_19befc0001.bin	0	1	2	0
v5_1687295_19beff0003.bin	0	1	2	0
v5_1687298_19bf020004.bin	1	0	0	0
v5_3300002_11ba51974de0946a.bin	1	0	0	0
v5_3300012_2067822bb5911bd2.bin	1	0	0	0
v5_3300027_8e78905014f24433.bin	1	0	0	0
v5_3300052_b5f7e0969157ee0d.bin	1	0	0	0
v5_3300072_296ebe8a6bdc8eda.bin	1	0	0	0
v5_3300104_6a4d585ed564f839.bin	1	0	0	0
v5_3300116_5f3d6e45cff46bad.bin	1	0	0	0
v5_3300122_bf2512d9779a189a.bin	1	0	0	0
v5_3300133_c6522b30559ced49.bin	1	0	0	0
v5_3300152_df15c1b533cbd228.bin	1	0	0	0
v5_3300170_d04306b9a5463a97.bin	1	0	0	0
v5_3300182_6ac4b9d6a3fbde8f.bin	1	0	0	0
v5_3300193_cfa5a328f8ba35d2.bin	1	0	0	0
v5_3300202_ce91e73a54fa7ed4.bin	1	0	0	0
v5_3300216_322be1267fd8531c.bin	1	0	0	0
v5_3300228_302800297d429658.bin	1	0	0	0
v5_3300244_8a7d019979406982.bin	1	0	0	0
v5_3300275_151f8048cb17e95a.bin	1	0	0	0
v5_3300293_ff52fffe8259d9c6.bin	1	0	0	0
v5_3300318_aac6a3eacc8a160d.bin	1	0	0	0
v5_3300336_a3d1ffc90fa8e2be.bin	1	0	0	0
v5_3300363_45571e8daef0136b.bin	1	0	0	0
v5_3300383_d849a1e366979a9e.bin	1	0	0	0
v5_3300400_32b134c01e2b951d.bin	1	0	0	0
v5_3300415_111435b31b4d8198.bin	1	0	0	0
v5_3300424_60e0630bc2a719d3.bin	1	0	0	0
v5_3300432_803168b2d6a68812.bin	1	0	0	0
v5_3300447_df908bdbac500e59.bin	1	0	0	0
v5_3300462_98c8bc2ea777b879.bin	1	0	0	0
